Count of MONTH,Column Labels,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
Gaviota SP,,,,221,247,399,542,459,248,,,,2116
George J. Hatfield SRA,,,,2,3,4,4,4,3,1,,,21
Grizzly Creek Redwoods SP,,,,,46,153,270,178,4,,,,651
Grover Hot Springs SP,,,,,131,545,647,554,213,,,,2090
Half Moon Bay SB,407,342,519,561,557,589,547,523,557,530,478,474,6084
Hearst San Simeon SP,306,318,717,1142,1122,1663,1988,1737,1109,851,1422,801,13176
Hendy Woods SP,23,29,85,227,390,578,736,562,409,165,101,15,3320
Henry Cowell Redwoods SP,,,,,738,1232,1339,1223,722,403,,,5657
Henry W Coe SP,40,49,105,143,165,140,134,157,104,96,99,27,1259
Humboldt Redwoods SP,34,41,195,316,670,1250,1759,1286,398,259,170,94,6472
Indian Grinding Rock SHP,3,4,14,44,72,85,106,90,69,77,44,10,618
Jedediah Smith Redwoods SP,,,,,791,1089,925,1003,921,,,,4729
Julia Pfeiffer Burns SP,31,,2,,,27,26,33,19,20,27,24,209
Lake Oroville SRA,,,9,90,204,276,416,308,67,30,7,,1407
Lake Perris SRA,86,336,279,751,954,1210,1705,1608,743,244,262,74,8252
Leo Carrillo SP,,,,,134,916,1403,1348,840,682,698,392,6413
Limekiln SP,199,109,382,385,372,332,300,328,395,391,362,252,3807
Little Basin State Park,61,35,166,212,151,278,328,179,91,152,212,49,1914
Mackerricher SP,21,29,160,357,630,1000,1027,1055,701,286,183,45,5494
Malakoff Diggins SHP,,,,,31,114,147,137,55,,,,484
Malibu Creek SP,,,,,1,377,548,598,359,268,285,94,2530
Manresa SB,,,,,212,630,666,595,356,,,,2459
Mcarthur-Burney Falls Memorial SP,,,,,293,788,848,777,132,,,,2838
Mcconnell SRA,1,,3,18,37,83,107,117,75,26,4,1,472
Mcgrath SB,,,,,1,,,,,,,,1
Millerton Lake SRA,40,71,137,339,356,542,665,474,270,192,153,56,3295
Montana De Oro SP,215,211,473,587,511,732,716,681,490,415,234,279,5544
Morro Bay SP,518,494,881,1028,1051,1310,1284,1244,1052,810,1002,656,11330
Morro Strand SB,316,271,485,659,625,832,801,836,598,473,595,360,6851
Mount Diablo SP,51,46,225,316,379,460,383,498,339,212,193,39,3141
Mount Tamalpais SP,93,90,105,112,114,111,112,120,100,19,121,104,1201
Mt. San Jacinto SP,61,12,84,175,321,461,472,500,336,278,138,44,2882
New Brighton SB,463,258,602,1099,1080,1114,1033,1314,1134,1062,896,585,10640
Oceano Dunes SVRA,514,1094,919,2040,3064,4389,5751,5180,2139,1482,2949,1577,31098
Palomar Mountain SP,46,20,62,220,186,340,353,343,199,190,148,22,2129
Patricks Point SP,51,39,173,186,405,1170,1245,1179,596,179,125,65,5413
Pfeiffer Big Sur SP,338,218,797,1825,1892,1945,1706,1957,2151,1691,1254,342,16116
Pismo SB,333,296,532,623,551,1642,1336,1534,1275,1264,1580,1062,12028
Plumas-Eureka SP,,,,,32,367,439,411,10,,,,1259
Point Mugu SP,415,430,852,1056,963,1258,1069,1195,976,724,697,433,10068
Portola Redwoods SP,,,,377,361,508,617,554,334,330,,,3081
Prairie Creek Redwoods SP Elk Prairie Campground,,,,,517,807,731,823,670,,,,3548
Prairie Creek Redwoods SP Gold Bluffs Beach Campg,,,,,201,330,323,322,293,,,,1469
Refugio SB,,,,627,653,720,566,619,653,634,524,136,5132
Richardson Grove SP,,,,,140,443,922,689,10,,,,2204
Russian Gulch SP,,,,1,196,292,309,295,209,,,,1302
Salt Point SP,85,90,150,357,485,796,935,845,567,455,181,78,5024
Salton Sea SRA,75,95,118,62,48,15,9,11,6,24,50,36,549
Samuel P. Taylor SP,149,123,406,508,537,767,812,772,628,495,452,150,5799
San Clemente SB,664,726,1234,1484,1341,1549,1317,1557,1465,1403,1157,834,14731
San Elijo SB,1190,646,1519,1519,1590,1478,1231,1487,1566,1557,1420,1061,16264
San Luis Reservoir SRA,9,22,74,173,213,237,367,330,114,92,86,178,1895
San Onofre SB,280,285,731,1068,1504,2744,3418,3105,1548,971,665,359,16678
Seacliff SB,150,195,293,291,261,283,232,280,247,287,241,366,3126
Silver Strand SB,465,466,930,932,888,1145,1104,1169,1078,973,720,495,10365
Silverwood Lake SRA,73,72,241,528,650,883,921,773,556,274,248,48,5267
Sonoma Coast State Park,246,214,133,403,891,1315,1409,1378,1002,570,505,262,8328
South Carlsbad SB,1322,975,2197,2357,2210,2313,1900,2248,2404,2239,1912,1347,23424
Standish-Hickey SRA,,,,,106,315,668,720,14,,,,1823
Sugar Pine Point SP,,,,,63,762,899,901,18,,,,2643
Sugarloaf Ridge SP,22,43,147,174,239,306,331,332,192,179,126,25,2116
Sunset SB,167,90,515,736,671,1038,1003,1010,663,619,298,192,7002
Tahoe SRA,,,,,20,191,202,258,6,,,,677
Turlock Lake SRA,,,1,21,67,162,203,206,33,,,,693
Van Damme SP,16,12,69,264,362,546,737,554,357,274,64,36,3291
Woodson Bridge SRA,,,,14,47,20,58,43,16,14,,,212
Grand Total,13584,12449,24298,37243,45799,69267,75728,73595,46171,34023,30732,17767,480656
