Count of MONTH,Column Labels,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
Angel Island SP,87,85,123,160,174,195,191,199,165,149,140,88,1756
Anza-Borrego Desert SP,897,886,1629,1183,357,,,,,519,863,648,6982
Auburn SRA,,,,,8,81,62,84,30,,,,265
Benbow SRA,,,,,45,63,174,119,5,,,,406
Big Basin Redwoods SP,103,70,482,751,955,1654,1756,1646,773,703,331,261,9485
Bolsa Chica SB,554,423,608,650,633,603,524,636,678,636,515,487,6947
Bothe-Napa Valley SP,55,73,157,231,290,305,336,283,212,203,157,57,2359
Brannan Island SRA,34,41,118,303,420,507,595,589,271,99,70,20,3067
Butano SP,,,,303,266,452,470,459,272,254,279,,2755
Calaveras Big Trees SP,,,,,178,845,908,844,612,363,81,12,3843
Candlestick Point SRA,6,7,14,8,6,34,43,36,24,27,5,8,218
Carpinteria SB,865,617,1027,1599,1883,2198,2093,2308,1965,1613,1150,812,18130
Castle Crags SP,,,,,98,315,381,248,34,,,,1076
Caswell Memorial SP,,6,36,52,199,288,339,350,278,137,32,5,1722
China Camp SP,26,26,84,158,177,257,296,257,195,166,116,20,1778
Chino Hills SP,19,16,69,84,90,93,51,,,,,,422
Clear Lake SP,,,,122,329,554,660,641,250,149,75,4,2784
Colonel Allensworth SHP,1,2,6,2,10,6,6,7,2,4,8,5,59
Colusa-Sacramento River SRA,2,7,5,16,46,36,48,33,13,29,16,3,254
Crystal Cove SP Moro Campground,552,526,799,880,926,953,857,934,956,905,786,599,9673
Cuyamaca Rancho SP,13,1,1,462,451,560,539,525,392,402,385,7,3738
D.L. Bliss SP,,,,,72,1023,1282,1185,22,,,,3584
Del Norte Coast Redwood SP Mill Creek Campground,,,,,392,1437,1919,1569,290,,,,5607
Doheny SB,655,660,1077,1219,1372,1341,1154,1392,1397,1245,1094,723,13329
Donner Memorial SP,,,,,60,937,1270,1131,34,,,,3432
El Capitan SB,,,,1205,1239,1580,1479,1535,1247,978,1087,185,10535
Emerald Bay SP,,,,,,738,1151,1149,17,,,,3055
Emma Wood SB,,,,554,536,720,841,766,469,,,,3886
Folsom Lake SRA,104,90,266,566,712,930,1014,903,564,490,395,233,6267
Fort Tejon SHP,,,3,3,6,2,3,1,1,3,4,1,27
Fremont Peak SP,32,17,73,102,126,164,179,160,99,87,55,10,1104
