Count of MONTH,Column Labels,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
Angel Island SP,90,110,129,166,169,181,205,194,179,152,103,116,1794
Anza-Borrego Desert SP,861,855,1356,946,,,,,,452,884,708,6062
Auburn SRA,,,,,23,89,93,74,28,,,,307
Big Basin Redwoods SP,170,165,394,615,924,1598,1874,1716,768,654,191,151,9220
Bolsa Chica SB,517,487,611,621,615,538,567,575,627,620,565,494,6837
Bothe-Napa Valley SP,78,135,158,202,221,317,340,286,224,204,134,74,2373
Brannan Island SRA,32,37,55,155,293,363,456,432,234,74,84,22,2237
Butano SP,,,,352,291,417,547,455,304,326,197,,2889
Calaveras Big Trees SP,,,,,351,840,981,637,584,273,,,3666
Candlestick Point SRA,,,,,,,,,,9,13,4,26
Carpinteria SB,661,509,867,1479,1503,1854,1674,1803,1561,1444,1241,997,15593
Castle Crags SP,,,,,127,262,361,126,39,,,,915
Caswell Memorial SP,5,14,11,24,104,241,284,297,159,77,19,6,1241
China Camp SP,50,104,166,193,217,326,364,326,212,181,98,25,2262
Chino Hills SP,3,13,22,30,54,58,30,17,41,27,29,14,338
Clear Lake SP,12,67,74,199,368,567,584,137,192,96,7,,2303
Colonel Allensworth SHP,1,6,3,3,1,4,1,,1,2,4,1,27
Colusa-Sacramento River SRA,8,4,7,8,,,,,,,,,27
Crystal Cove SP Moro Campground,588,574,642,696,731,780,693,804,791,660,690,544,8193
Cuyamaca Rancho SP,,,58,445,466,581,541,756,547,454,422,,4270
D.L. Bliss SP,,,,,124,969,1260,1130,53,,,,3536
Del Norte Coast Redwood SP Mill Creek Campground,,,,,237,1332,1703,1526,293,,,,5091
Doheny SB,793,762,929,982,1040,1266,1007,1173,1118,980,901,714,11665
Donner Memorial SP,,,,,67,858,1309,1002,68,,,,3304
El Capitan SB,,,,972,977,1469,1396,1383,1024,907,835,,8963
Emerald Bay SP,,,,,,712,1196,1086,69,,,,3063
Emma Wood SB,,,9,21,274,806,878,797,49,,,,2834
Folsom Lake SRA,84,177,213,344,571,704,790,654,433,284,184,112,4550
Fort Tejon SHP,,1,1,2,5,1,,,,3,3,2,18
Fremont Peak SP,17,31,65,86,110,133,133,134,109,80,39,21,958
Gaviota SP,,,,200,219,355,509,389,236,,,,1908
George J. Hatfield SRA,,,,1,2,5,4,3,3,1,,,19
Grizzly Creek Redwoods SP,,,,,28,164,294,243,11,,,,740
Grover Hot Springs SP,,,,,181,554,633,475,33,,,,1876
Half Moon Bay SB,438,467,506,572,598,601,552,560,550,480,468,372,6164
Hearst San Simeon SP,267,441,667,792,655,1337,1815,1587,1020,811,753,536,10681
Hendy Woods SP,,,,151,375,608,718,525,405,,,,2782
Henry Cowell Redwoods SP,,,,,725,1292,1380,1283,790,401,,,5871
Henry W Coe SP,38,90,105,126,165,113,86,148,111,90,79,42,1193
Humboldt Redwoods SP,50,63,205,254,519,1298,1712,273,360,219,153,80,5186
Indian Grinding Rock SHP,5,21,51,53,44,83,64,40,53,,13,14,441
Jedediah Smith Redwoods SP,,,,,621,993,791,862,850,,,,4117
Julia Pfeiffer Burns SP,20,36,39,32,35,30,32,29,29,26,31,19,358
Lake Oroville SRA,,2,1,93,398,334,436,300,183,60,4,,1811
Lake Perris SRA,63,361,312,358,870,1220,1484,1220,610,333,286,124,7241
Leo Carrillo SP,680,683,792,1037,1099,1535,1340,1387,1121,838,195,,10707
Limekiln SP,269,296,396,385,435,377,375,370,340,362,294,254,4153
Little Basin State Park,83,158,243,201,138,241,320,130,131,146,177,98,2066
Mackerricher SP,2,1,,199,637,1026,1037,1072,232,,,,4206
Malakoff Diggins SHP,,,,,34,89,114,93,49,14,,,393
Malibu Creek SP,203,231,322,372,341,367,,,,,,,1836
Manresa SB,,,,,216,681,733,656,384,,,,2670
Mcarthur-Burney Falls Memorial SP,,,,,310,846,779,456,127,,,,2518
Mcconnell SRA,1,1,6,17,45,96,109,105,47,13,3,4,447
Millerton Lake SRA,21,88,138,179,314,395,405,324,148,137,145,67,2361
