Count of MONTH,Column Labels,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
Montana De Oro SP,326,355,450,500,486,678,741,710,498,440,424,337,5945
Morro Bay SP,,1,771,1031,956,1296,1255,1336,1025,995,845,597,10108
Morro Strand SB,343,462,555,579,600,832,821,841,595,544,503,344,7019
Mount Diablo SP,66,145,159,272,372,429,394,383,331,207,104,60,2922
Mount Tamalpais SP,112,106,113,121,137,124,141,147,122,19,100,105,1347
Mt. San Jacinto SP,67,74,136,194,380,485,330,286,342,249,189,77,2809
New Brighton SB,503,553,593,891,1094,1170,1061,1273,1114,1000,587,461,10300
Oceano Dunes SVRA,603,1613,1617,1178,2322,4401,6274,5809,2311,1445,3038,1715,32326
Palomar Mountain SP,42,38,61,207,182,313,282,260,186,184,198,,1953
Patricks Point SP,,,,5,228,1177,1266,1218,58,2,,,3954
Pfeiffer Big Sur SP,14,42,35,1395,1800,1995,1968,1973,2016,1514,1231,419,14402
Pismo SB,182,202,202,232,683,1630,1453,1617,912,508,501,342,8464
Plumas-Eureka SP,,,,,71,352,393,345,25,,,,1186
Point Mugu SP,465,514,741,778,838,1169,1032,1080,840,591,241,434,8723
Portola Redwoods SP,,,,384,385,578,754,661,412,336,,,3510
Prairie Creek Redwoods SP Elk Prairie Campground,,,,,432,863,881,834,678,,,,3688
Prairie Creek Redwoods SP Gold Bluffs Beach Campg,,,,,217,356,291,352,173,,,,1389
Refugio SB,,,,568,584,644,578,623,592,544,431,,4564
Richardson Grove SP,,,,,87,535,958,764,52,,,,2396
Russian Gulch SP,,,35,94,241,316,341,326,22,,,,1375
Salt Point SP,5,4,11,327,411,705,874,865,389,321,162,129,4203
Salton Sea SRA,37,94,56,26,,,,,,20,50,43,326
Samuel P. Taylor SP,162,218,436,486,582,741,853,732,552,481,340,203,5786
San Clemente SB,765,819,974,1047,1072,1386,1166,1305,1090,1015,986,736,12361
San Elijo SB,1186,1237,1763,1869,1571,1125,1201,1555,1602,1554,1440,890,16993
San Luis Reservoir SRA,11,43,64,105,239,187,231,157,136,40,66,14,1293
San Onofre SB,294,350,681,784,1180,2289,2882,2343,1238,682,618,326,13667
Seacliff SB,274,282,283,291,291,265,270,260,296,279,255,236,3282
Silver Strand SB,522,575,779,778,799,1067,955,1019,870,738,723,507,9332
Silverwood Lake SRA,62,108,171,406,607,927,1006,819,668,277,324,130,5505
Sonoma Coast State Park,318,364,422,598,799,1121,1285,1242,709,615,515,301,8289
South Carlsbad SB,1595,1571,2200,2382,2344,2267,1906,2235,2337,2257,1924,1455,24473
Standish-Hickey SRA,5,18,35,24,127,250,540,442,149,30,,,1620
Sugar Pine Point SP,,,,,115,883,903,806,54,,,,2761
Sugarloaf Ridge SP,,31,82,128,238,280,286,283,221,184,112,32,1877
Sunset SB,178,248,556,655,626,1007,1029,986,599,536,285,203,6908
Tahoe SRA,,,,,36,206,239,215,14,,,,710
Turlock Lake SRA,,,,10,66,154,210,188,32,,,,660
Van Damme SP,,,,38,272,510,711,569,202,2,,,2304
Woodson Bridge SRA,,,,,47,18,33,15,25,,,,138
Grand Total,14247,17057,23534,31946,42384,66637,72783,66924,41017,29499,25436,15711,447175
