Count of MONTH,Column Labels,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
Sonoma Coast State Park,332,404,215,,,,659,1344,1297,1307,674,145,6377
South Carlsbad SB,1501,1499,933,,,1034,1659,1931,2003,2142,1917,,14619
Standish-Hickey SRA,,,,,,96,852,894,146,,,,1988
Sugar Pine Point SP,,,,,,412,995,1051,567,60,,,3085
Sugarloaf Ridge SP,42,143,49,,,114,542,398,224,46,244,44,1846
Sunset SB,348,483,228,1,,,855,996,855,1274,585,136,5761
Tahoe SRA,,,,,,73,262,257,59,,,,651
Turlock Lake SRA,1,1,2,,,24,257,52,,,,,337
Van Damme SP,40,59,31,,,62,351,455,290,632,146,91,2157
Grand Total,20605,24370,12663,1,4,22165,69102,66111,48143,48759,35757,5896,353576
